28
10967974853 30,343628 59,943417 28
2283448827 30,345759 59,941262 18
2283448865 30,346005 59,941418 34
3399483159 30,343773 59,943767 31
3396003945 30,343967 59,942659 17
3396003944 30,343913 59,942920 37
11763715102 30,341842 59,945243 29
10967974851 30,343205 59,943576 12
2283448841 30,345234 59,941284 30
2283466945 30,345102 59,941502 26
10967974857 30,343093 59,943571 18
3531776673 30,343193 59,943641 12
2283448839 30,345377 59,941281 11
11078021510 30,341994 59,945247 10
11763715100 30,341862 59,945008 10
1591732116 30,343139 59,943324 23
5932488878 30,343176 59,943097 13
3531783056 30,343957 59,942710 10
3399483190 30,343035 59,943896 36
2283466943 30,345246 59,941501 39
1591732114 30,343032 59,943320 13
3399483156 30,343081 59,943636 21
2283448805 30,345964 59,941133 23
3396003941 30,343850 59,943125 23
2283458184 30,345391 59,941499 10
3396003940 30,343291 59,943103 10
2283448803 30,346308 59,941098 16
2283448832 30,345990 59,941277 11
